Map size: 450, 300

# min_x, min_y, max_x, max_y


building_dict Total Count : 55
-------------------------
building_hotel : (-57.00003284966582, -43.00003284966582, -42.99996715033418, -28.99996715033418)
building(1) : (15.0, -60.0, 95.0, -10.0)
building(2) : (15.0, -86.0, 175.0, -70.0)
building(3) : (236.0, -200.0, 400.0, -70.0)
building(4) : (147.9999898038495, -35.000005098071355, 158.0000101961505, -14.999994901928645)
building(5) : (55.19997960770263, 48.83998266655012, 89.20002039229738, 88.84001733344988)
building(6) : (100.20997960770002, 48.83998776462667, 124.21002039229997, 88.84001223537334)
building(7) : (137.64997960770629, 48.83997552924295, 185.65002039229373, 88.84002447075706)
building(8) : (303.0, 40.0, 343.0, 80.0)
building(9) : (260.0, 40.0, 300.0, 80.0)
building(10) : (347.0, 40.0, 387.0, 80.0)
building(11) : (100.0, -50.0, 120.0, -30.0)
building_residential(1) : (54.39999724704053, 13.299996329386286, 61.60000275295947, 18.700003670613714)
building_residential(2) : (63.39999724704053, 13.299996329386286, 70.60000275295947, 18.700003670613714)
building_residential(3) : (72.39999724704053, 13.299996329386286, 79.60000275295947, 18.700003670613714)
building_residential(4) : (81.39999724704053, 13.299996329386286, 88.60000275295947, 18.700003670613714)
building_residential(5) : (104.47999724704053, 13.299996329386286, 111.68000275295947, 18.700003670613714)
building_residential(6) : (114.01999724704054, 13.299996329386286, 121.22000275295947, 18.700003670613714)
building_residential(7) : (137.74999724704054, 13.299996329386286, 144.95000275295945, 18.700003670613714)
building_residential(8) : (147.00999724704056, 13.299996329386286, 154.21000275295947, 18.700003670613714)
building_residential(9) : (156.48999724704055, 13.299996329386286, 163.69000275295946, 18.700003670613714)
building_residential(10) : (165.64999724704055, 13.299996329386286, 172.85000275295945, 18.700003670613714)
building_residential(11) : (175.69999724704056, 13.299996329386286, 182.90000275295947, 18.700003670613714)
building_residential(12) : (175.6999900823705, 28.249986776479844, 182.90000991762952, 33.650013223520155)
building_residential(13) : (165.3899900823705, 28.249986776479844, 172.59000991762952, 33.650013223520155)
building_residential(14) : (156.22999008237053, 28.249986776479844, 163.4300099176295, 33.650013223520155)
building_residential(15) : (146.85999008237053, 28.249986776479844, 154.0600099176295, 33.650013223520155)
building_residential(16) : (137.30999008237052, 28.249986776479844, 144.51000991762947, 33.650013223520155)
building_residential(17) : (114.04999008237051, 28.249986776479844, 121.2500099176295, 33.650013223520155)
building_residential(18) : (104.2299900823705, 28.249986776479844, 111.43000991762949, 33.650013223520155)
building_residential(19) : (81.2499900823705, 28.249986776479844, 88.45000991762949, 33.650013223520155)
building_residential(20) : (72.2499900823705, 28.249986776479844, 79.45000991762949, 33.650013223520155)
building_residential(21) : (62.559990082370504, 28.249986776479844, 69.76000991762949, 33.650013223520155)
building_residential(22) : (53.59999008237051, 28.249986776479844, 60.800009917629495, 33.650013223520155)
building_cyberbotics(1) : (277.0, -42.02, 297.0, -22.020000000000003)
building_cyberbotics(2) : (298.0, -42.02, 318.0, -22.020000000000003)
building_cyberbotics(3) : (319.0, -42.02, 339.0, -22.020000000000003)
building_cyberbotics(4) : (340.0, -42.02, 360.0, -22.020000000000003)
building_cyberbotics(5) : (361.0, -42.02, 381.0, -22.020000000000003)
building_cyberbotics(6) : (382.0, -42.02, 402.0, -22.020000000000003)
building_cyberbotics(7) : (235.0, 16.0, 255.0, 36.0)
building_cyberbotics(8) : (257.0, 16.0, 277.0, 36.0)
building_cyberbotics(9) : (279.0, 16.0, 299.0, 36.0)
building_cyberbotics(10) : (301.0, 16.0, 321.0, 36.0)
building_cyberbotics(11) : (323.0, 16.0, 343.0, 36.0)
building_cyberbotics(12) : (345.0, 16.0, 365.0, 36.0)
building_cyberbotics(13) : (367.0, 16.0, 387.0, 36.0)
building_cyberbotics(14) : (234.99997346413727, 37.99997346413727, 255.00002653586273, 58.00002653586273)
building_cyberbotics(15) : (234.99997346413727, 59.99997346413727, 255.00002653586273, 80.00002653586273)
building_commerial(1) : (158.0, -36.0, 180.0, -14.0)
building_commerial(2) : (158.0, -58.0, 180.0, -36.0)
building_construction(1) : (235.0, -61.0, 251.0, -45.0)
building_construction(2) : (235.0, -37.5, 251.0, -21.5)
building_hollow(1) : (13.5, 16.5, 34.5, 37.5)
building_hollow(2) : (13.5, 47.5, 34.5, 68.5)


car_dict Total Count : 147
-------------------------
car_bus(1) : (-24.3200049604278, -17.86500134588968, -21.6799950395722, -8.13499865411032)
car_bus(2) : (-3.8200178701339227, -137.86500484859792, -1.1799821298660773, -128.13499515140208)
car_bus(3) : (-24.3200049604278, -151.86500134588968, -21.6799950395722, -142.13499865411032)
car_bus(4) : (130.1349964972786, -93.3200129097097, 139.8650035027214, -90.6799870902903)
car_bus(5) : (200.1799950395722, -81.86500134588968, 202.8200049604278, -72.13499865411032)
car_bus(6) : (207.6799950395722, -31.86500134588968, 210.3200049604278, -22.13499865411032)
car_bus(7) : (200.1799950395722, 38.74499865411032, 202.8200049604278, 48.47500134588968)
car_bus(8) : (222.6799821298661, 62.13499515140209, 225.3200178701339, 71.86500484859792)
car_bus(9) : (293.1349903028698, -0.32003574025003667, 302.8650096971302, 2.3200357402500367)
car_bus(10) : (355.6349903028698, -0.32003574025003667, 365.3650096971302, 2.3200357402500367)
car_bus(11) : (337.1349903155285, -16.320035693593773, 346.8650096844715, -13.679964306406227)
car_bus(12) : (204.1799950395722, -160.86500134588968, 206.8200049604278, -151.13499865411032)
car_bus(13) : (211.6799821298661, -189.86500484859792, 214.3200178701339, -180.13499515140208)
car_bus(14) : (196.1799950395722, -145.36500134588968, 198.8200049604278, -135.63499865411032)
car_bus(15) : (196.1799950395722, -155.86500134588968, 198.8200049604278, -146.13499865411032)
car_bus(16) : (223.6799821298661, -167.36500484859792, 226.3200178701339, -157.63499515140208)
car_bus(17) : (115.6799950395722, -26.86500134588968, 118.3200049604278, -17.13499865411032)
car_rangerover(1) : (12.50999734641901, -5.900026633970962, 17.51000265358099, -3.900013366029037)
car_rangerover(2) : (55.31999734641901, 0.6298933660290373, 60.32000265358099, 2.6299066339709625)
car_rangerover(3) : (174.569997346419, -5.7601966339709625, 179.57000265358099, -3.760183366029037)
car_rangerover(4) : (213.27999265365725, -2.4302483659985326, 218.28000734634276, -0.43021163400146745)
car_rangerover(5) : (219.379990816994, 54.079696326811764, 221.380009183006, 59.07970367318824)
car_rangerover(6) : (215.449990816994, 76.46969632681177, 217.450009183006, 81.46970367318823)
car_rangerover(7) : (215.499990816994, -56.50000367318824, 217.500009183006, -51.49999632681176)
car_rangerover(8) : (-19.170209183006012, 35.74929632681176, -17.17019081699399, 40.74930367318824)
car_rangerover(9) : (-19.820002549037756, -88.14100101961401, -17.819997450962244, -83.140998980386)
car_rangerover(10) : (82.36999265365726, -103.67001836599853, 87.37000734634275, -101.66998163400147)
car_rangerover(11) : (170.3199946928556, -111.8700132679349, 175.32000530714438, -109.86998673206512)
car_rangerover(12) : (157.1299946928556, -119.66001326793489, 162.1300053071444, -117.65998673206511)
car_rangerover(13) : (222.879990816994, -136.14000367318823, 224.880009183006, -131.13999632681174)
car_rangerover(14) : (311.9899926536573, -3.869428365998532, 316.99000734634274, -1.8693916340014674)
car_rangerover(15) : (223.039990816994, -31.67000367318824, 225.040009183006, -26.669996326811763)
car_rangerover(16) : (47.44959745096224, 65.32949898038598, 49.449602549037756, 70.32950101961401)
car_rangerover(17) : (72.93999265365726, 42.449281634001466, 77.94000734634274, 44.449318365998536)
car_rangerover(18) : (127.33999081699399, -18.85040367318824, 129.340009183006, -13.850396326811763)
car_rangerover(19) : (165.8499946928556, -69.07011326793489, 170.8500053071444, -67.0700867320651)
car_rangerover(20) : (111.43999265365726, 42.359581634001465, 116.44000734634274, 44.359618365998536)
car_bmw(1) : (-3.745102829432037, -18.3549008819658, -2.0150971705679632, -12.8048991180342)
car_bmw(2) : (-15.475002829432036, 21.104999118034197, -13.744997170567963, 26.6550008819658)
